Suscetivel,Infectado,Recuperado
86943,324,0
86911,325,31
86897,339,31
86897,339,31
86864,351,52
86845,350,72
86823,361,83
86799,375,93
86764,406,97
86748,410,109
86701,445,121
86680,453,134
86680,451,136
86642,452,173
86589,496,182
86561,515,191
86526,522,219
86507,526,234
86489,530,248
86459,528,280
86376,590,301
86320,634,313
86298,632,337
86266,641,360
86231,654,382
86207,654,406
86178,644,445
86136,668,463
86082,674,511
86047,688,532
86007,713,547
85972,725,570
85955,713,599
85904,710,653
85904,709,654
85851,706,710
85799,740,728
85799,740,728
85732,693,842
85707,661,899
85657,685,925
